Actual,Prediction
100.0,97.98
40.0,51.7
84.91,55.78
75.9,76.45
79.87,87.74
77.35,78.07
75.87,69.02
100.0,89.36
20.0,30.7
100.0,91.31
99.82,89.07
100.0,90.16
99.97,93.99
100.0,98.28
100.0,93.89
84.95,92.27
85.0,94.76
100.0,84.21
99.31,85.77
100.0,92.67
100.0,94.27
100.0,95.81
99.99,90.83
79.96,89.75
100.0,83.51
74.28,89.1
77.48,82.61
75.99,75.06
75.98,79.51
73.32,82.68
73.32,85.26
79.96,82.78
74.27,81.89
74.97,82.78
72.62,86.08
75.0,79.12
73.58,85.47
80.0,80.62
72.25,63.55
75.86,84.52
100.0,96.9
40.0,50.93
79.83,87.17
77.48,84.51
77.41,87.16
74.84,87.42
72.92,87.88
99.93,94.18
30.0,36.66
100.0,98.56
84.77,97.12
100.0,92.95
79.95,93.52
99.99,97.94
84.97,94.65
84.98,94.96
82.0,94.9
99.95,91.46
99.77,93.3
100.0,90.97
100.0,92.83
100.0,95.04
75.97,92.17
100.0,90.29
77.35,87.49
79.89,89.99
74.97,89.67
74.28,88.5
72.99,86.89
73.71,85.04
84.97,86.76
75.98,83.98
36.65,86.73
74.28,86.03
99.99,90.86
73.32,89.49
77.43,89.41
73.74,87.84
77.5,87.0
74.99,89.94
99.97,96.33
40.0,52.68
79.98,90.57
75.97,88.73
84.99,89.35
74.97,91.0
72.93,89.28
100.0,91.89
20.0,39.5
84.94,96.9
79.97,94.74
77.46,91.34
99.96,95.8
99.99,95.86
100.0,95.18
99.95,94.04
56.59,87.96
84.97,92.54
77.17,95.35
99.92,97.23
99.92,91.11
79.98,96.19
79.95,90.99
100.0,93.0
100.0,90.24
73.64,85.67
75.99,87.48
75.93,86.95
73.73,87.76
73.74,85.82
72.71,85.47
73.71,90.02
20.0,65.39
84.99,88.93
73.32,90.99
73.31,86.94
75.99,87.44
72.25,85.82
73.74,85.56
73.33,88.72
99.99,95.96
40.0,52.68
77.47,90.74
79.98,88.57
74.88,90.57
75.88,90.2
72.93,87.2
79.96,98.35
16.67,36.06
99.96,96.0
99.96,90.26
100.0,94.64
77.48,92.24
79.99,92.75
99.98,95.62
100.0,90.47
30.0,69.96
79.96,94.34
84.99,88.47
100.0,96.16
99.84,89.74
100.0,93.41
84.98,90.43
79.99,94.92
79.89,94.7
73.32,88.66
73.32,89.58
74.28,86.24
77.46,85.42
73.58,88.08
99.99,90.09
72.13,87.54
30.0,55.88
75.99,88.62
72.49,89.58
73.3,85.9
99.99,90.53
72.48,85.25
72.3,86.95
74.28,87.01
84.98,95.99
40.0,52.68
84.99,87.93
73.71,88.73
79.97,88.43
72.95,88.75
61.87,87.52
75.85,93.96
12.86,35.72
79.99,94.53
79.99,92.29
100.0,96.46
75.95,91.38
99.96,90.07
84.99,93.19
75.96,93.38
40.0,43.96
84.99,88.74
70.62,91.35
74.26,96.84
99.95,95.55
77.46,96.26
77.47,89.06
99.99,93.25
99.85,88.7
79.97,86.45
79.99,89.27
75.97,91.48
74.24,86.98
72.69,85.68
72.3,89.54
75.99,87.2
39.58,42.41
77.5,89.97
74.98,88.56
73.24,87.95
75.91,87.61
72.99,88.06
75.0,84.77
73.74,87.37
