nama_alat,periode,availability,utilisation,mtbf,mttrc,mttrp,accident,available_time,breakdown_duration,total_breakdown,number_of_breakdowns,breakdown_frequency,avail_t1,avail_t2,avail_t3,util_t1,util_t2,util_t3,mtbf_t1,mtbf_t2,mtbf_t3,mttrp_t1,mttrp_t2,mttrp_t3,breakdown_frequency_t1,breakdown_frequency_t2,breakdown_frequency_t3,availability_score,utilisation_score,mtbf_score,mttrp_score,base_health_score,target_health_score
FLT-0001,2024-03,1.0,0.05,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,0.99,1.0,0.09,0.05,0.05,0.0,37.0,0.0,0.0,4.0,0.0,0.0,1.0,0,100.0,5.0,0.0,100.0,51.25,50.75
QCC-0001,2024-03,1.0,0.24,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,1.0,1.0,0.17,0.16,0.24,128.5,0.0,0.0,0.42,0.0,0.0,1.0,0.0,0,100.0,24.0,0.0,100.0,56.0,54.55
QCC-0002,2024-03,0.99,0.35,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,0.99,0.98,0.99,0.26,0.22,0.35,194.0,155.5,0.0,1.83,3.5,0.0,1.0,1.0,0,99.0,35.0,0.0,100.0,58.4,63.36
QCC-0003,2024-03,0.96,0.37,138.75,1.5,13.88,0.0,744.0,3.0,27.75,2,2,0.99,0.99,0.96,0.37,0.31,0.37,137.0,217.5,138.75,4.17,1.0,13.88,2.0,1.0,2,96.0,37.0,22.783251231527093,98.13440860215053,63.265974098204346,61.78
QCC-0004,2024-03,0.94,0.41,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,0.99,0.94,0.38,0.32,0.41,95.35,0.0,0.0,0.56,0.0,0.0,3.0,0.0,0,94.0,41.0,0.0,100.0,58.15,57.9
QCC-0005,2024-03,0.99,0.02,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,0.55,0.99,0.0,0.0,0.02,0.0,0.0,0.0,0.0,313.1,0.0,0.0,1.0,0,99.0,2.0,0.0,100.0,50.15,50.4
QCC-0006,2024-03,0.65,0.02,15.0,0.25,257.5,0.0,744.0,0.25,257.5,1,1,0.99,1.0,0.65,0.0,0.0,0.02,0.0,0.0,15.0,2.0,0.0,257.5,1.0,0.0,1,65.0,2.0,2.4630541871921183,65.38978494623655,33.67423128873351,0.48
RST-0001,2024-03,1.0,0.58,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,0.99,1.0,1.0,0.46,0.43,0.58,169.75,0.0,0.0,0.96,0.0,0.0,2.0,0.0,0,100.0,57.99999999999999,0.0,100.0,64.5,65.54
RTG-0001,2024-03,0.99,0.42,309.0,0.5,1.0,0.0,744.0,0.5,1.0,1,1,0.98,0.98,0.99,0.6,0.42,0.42,221.75,0.0,309.0,5.53,0.0,1.0,2.0,0.0,1,99.0,42.0,50.73891625615764,99.86559139784946,72.81456777371683,50.0
RTG-0002,2024-03,1.0,0.82,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,1.0,1.0,0.74,0.78,0.82,552.5,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0,100.0,82.0,0.0,100.0,70.5,88.65
RTG-0003,2024-03,1.0,0.13,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,0.98,1.0,1.0,0.02,0.09,0.13,17.5,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0,100.0,13.0,0.0,100.0,53.25,51.5
RTG-0004,2024-03,0.99,0.03,19.0,1.0,3.33,0.0,744.0,1.0,3.33,1,1,1.0,0.99,0.99,0.13,0.07,0.03,0.0,47.5,19.0,0.0,4.5,3.33,0.0,1.0,1,99.0,3.0,3.1198686371100166,99.5524193548387,51.112830062503306,52.0
RTG-0005,2024-03,0.99,0.82,609.0,0.17,0.5,0.0,744.0,0.17,0.5,1,1,1.0,1.0,0.99,0.77,0.78,0.82,0.0,0.0,609.0,0.0,0.0,0.5,0.0,0.0,1,99.0,82.0,100.0,99.93279569892472,95.13991935483871,67.5
RTG-0006,2024-03,1.0,0.82,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,0.98,1.0,1.0,0.67,0.79,0.82,500.0,547.5,0.0,0.35,0.5,0.0,1.0,1.0,0,100.0,82.0,0.0,100.0,70.5,77.8
RTG-0007,2024-03,0.99,0.82,304.0,0.75,4.67,0.0,744.0,1.5,9.33,2,2,0.99,0.99,0.99,0.75,0.78,0.82,561.5,181.83,304.0,0.5,0.33,4.67,1.0,3.0,2,99.0,82.0,49.917898193760266,99.37231182795699,82.53532132263362,67.65
RTG-0008,2024-03,0.55,0.13,99.5,1.0,333.17,0.0,744.0,1.0,333.17,1,1,1.0,1.0,0.55,0.19,0.0,0.13,0.0,2.0,99.5,0.0,0.97,333.17,0.0,1.0,1,55.00000000000001,13.0,16.338259441707716,55.21908602150538,34.867427763652735,71.25
RTG-0009,2024-03,1.0,0.04,14.5,0.29,1.21,0.0,744.0,0.58,2.42,2,2,0.99,1.0,1.0,0.07,0.0,0.04,53.5,0.0,14.5,1.5,0.0,1.21,1.0,0.0,2,100.0,4.0,2.380952380952381,99.83736559139786,51.57084293394777,51.0
RTG-0010,2024-03,0.46,0.04,9.5,0.33,135.0,0.0,744.0,1.0,405.0,3,3,1.0,0.54,0.46,0.33,0.42,0.04,0.0,97.67,9.5,0.0,105.67,135.0,0.0,3.0,3,46.0,4.0,1.5599343185550083,81.85483870967742,29.768209386090362,12.42
RTG-0011,2024-03,0.92,0.75,559.5,1.0,60.17,0.0,744.0,1.0,60.17,1,1,0.99,0.99,0.92,0.75,0.79,0.75,0.0,0.0,559.5,0.0,0.0,60.17,0.0,0.0,1,92.0,75.0,91.87192118226602,91.91263440860216,87.70487545685683,29.72
RTG-0012,2024-03,0.55,0.37,137.5,0.08,165.25,0.0,744.0,0.17,330.5,2,2,0.48,0.0,0.55,0.39,0.0,0.37,288.5,0.0,137.5,386.0,696.0,165.25,1.0,1.0,2,55.00000000000001,37.0,22.57799671592775,77.78897849462365,45.81284595317548,88.84
RTG-0013,2024-03,0.99,0.81,151.0,0.49,1.75,0.0,744.0,1.94,7.0,4,4,0.99,0.95,0.99,0.15,0.73,0.81,108.0,508.5,151.0,8.5,33.0,1.75,1.0,1.0,4,99.0,81.0,24.794745484400657,99.76478494623656,76.06340411303565,76.65
RTG-0014,2024-03,1.0,0.1,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,1.0,1.0,0.23,0.04,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,10.0,0.0,100.0,52.5,59.0
RTG-0015,2024-03,1.0,0.82,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,0.99,1.0,0.77,0.79,0.82,570.5,276.25,0.0,0.27,0.75,0.0,1.0,2.0,0,100.0,82.0,0.0,100.0,70.5,77.45
RTG-0016,2024-03,0.99,0.67,166.83,0.53,3.14,0.0,744.0,1.58,9.42,3,3,0.99,1.0,0.99,0.63,0.78,0.67,0.0,0.0,166.83,0.0,0.0,3.14,0.0,0.0,3,99.0,67.0,27.39408866995074,99.57795698924731,73.18521571587478,76.64
SIL-0001,2024-03,1.0,0.01,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,1.0,1.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,1.0,0.0,100.0,50.25,50.5
TTR-0001,2024-03,1.0,0.34,0.0,0.0,0.0,0.0,744.0,0.06,0.0,0,0,1.0,1.0,1.0,0.22,0.18,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,34.0,0.0,100.0,58.5,55.65
TTR-0002,2024-03,1.0,0.29,216.5,0.09,0.33,0.0,744.0,0.09,0.33,1,1,0.99,1.0,1.0,0.32,0.28,0.29,120.5,192.5,216.5,0.33,0.67,0.33,2.0,1.0,1,100.0,28.999999999999996,35.55008210180624,99.95564516129032,66.1308672996451,55.9
TTR-0003,2024-03,0.99,0.38,286.0,0.0,0.17,0.0,744.0,0.0,0.17,1,1,1.0,0.99,0.99,0.2,0.26,0.38,0.0,0.0,286.0,0.0,0.0,0.17,0.0,0.0,1,99.0,38.0,46.96223316912972,99.9771505376344,70.88713087292759,57.5
TTR-0004,2024-03,1.0,0.47,176.5,0.14,0.29,0.0,744.0,0.29,0.58,2,2,0.99,0.99,1.0,0.36,0.37,0.47,67.88,254.5,176.5,0.33,0.33,0.29,4.0,1.0,2,100.0,47.0,28.981937602627255,99.96102150537635,68.98963762646326,69.89
TTR-0005,2024-03,0.99,0.49,180.5,0.04,0.33,0.0,744.0,0.08,0.67,2,2,0.99,0.99,0.99,0.42,0.36,0.49,62.6,0.0,180.5,0.47,0.0,0.33,5.0,0.0,2,99.0,49.0,29.638752052545158,99.95564516129032,69.30303478732984,68.82
TTR-0006,2024-03,0.99,0.47,115.83,0.11,0.31,0.0,744.0,0.34,0.92,3,3,1.0,1.0,0.99,0.44,0.35,0.47,0.0,0.0,115.83,0.0,0.0,0.31,0.0,0.0,3,99.0,47.0,19.019704433497537,99.95833333333334,66.14867610837439,69.42
TTR-0007,2024-03,0.99,0.48,359.0,0.09,0.33,0.0,744.0,0.09,0.33,1,1,1.0,0.99,0.99,0.3,0.37,0.48,0.0,128.75,359.0,0.0,0.38,0.33,0.0,2.0,1,99.0,48.0,58.94909688013136,99.95564516129032,76.38062099422638,61.01
TTR-0008,2024-03,1.0,0.46,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,0.99,0.99,1.0,0.32,0.36,0.46,0.0,252.0,0.0,0.0,0.33,0.0,0.0,1.0,0,100.0,46.0,0.0,100.0,61.5,62.16
TTR-0009,2024-03,1.0,0.39,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,0.23,0.99,1.0,0.03,0.31,0.39,12.0,0.0,0.0,284.67,0.0,0.0,2.0,0.0,0,100.0,39.0,0.0,100.0,59.75,58.4
TTR-0010,2024-03,0.0,0.0,0.0,0.0,744.0,0.0,744.0,0.0,744.0,1,1,0.82,0.0,0.0,0.27,0.0,0.0,198.5,0.0,0.0,134.0,696.0,744.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.48
TTR-0011,2024-03,0.99,0.48,0.0,0.0,0.0,0.0,744.0,0.09,0.0,0,0,0.99,0.99,0.99,0.42,0.34,0.48,155.25,0.0,0.0,0.29,0.0,0.0,2.0,0.0,0,99.0,48.0,0.0,100.0,61.65,65.96
TTR-0012,2024-03,0.98,0.41,100.5,0.08,0.36,0.0,744.0,0.25,1.08,3,3,1.0,0.99,0.98,0.34,0.3,0.41,252.5,0.0,100.5,0.42,0.0,0.36,1.0,0.0,3,98.0,41.0,16.502463054187192,99.95161290322581,63.668357699030665,63.07
TTR-0013,2024-03,0.99,0.43,107.33,0.18,0.78,0.0,744.0,0.55,2.33,3,3,0.99,0.99,0.99,0.39,0.36,0.43,0.0,0.0,107.33,0.0,0.0,0.78,0.0,0.0,3,99.0,43.0,17.623973727422005,99.89516129032258,64.79026762540389,61.48
TTR-0014,2024-03,0.99,0.47,173.0,0.06,0.33,0.0,744.0,0.11,0.67,2,2,0.99,0.99,0.99,0.33,0.36,0.47,123.75,124.25,173.0,0.32,0.33,0.33,2.0,2.0,2,99.0,47.0,28.407224958949094,99.95564516129032,68.49515301393082,66.81
TTR-0015,2024-03,1.0,0.44,327.0,0.08,0.42,0.0,744.0,0.08,0.42,1,1,0.99,0.99,1.0,0.29,0.32,0.44,218.5,0.0,327.0,0.33,0.0,0.42,1.0,0.0,1,100.0,44.0,53.69458128078818,99.94354838709677,74.41517757826156,70.99
