nama_alat,periode,availability,utilisation,mtbf,mttrc,mttrp,accident,available_time,breakdown_duration,total_breakdown,number_of_breakdowns,breakdown_frequency,avail_t1,avail_t2,avail_t3,mtbf_t1,mtbf_t2,mtbf_t3,mttrp_t1,mttrp_t2,mttrp_t3,num_bd_t1,num_bd_t2,num_bd_t3,breakdown_frequency_t1,breakdown_frequency_t2,breakdown_frequency_t3,availability_score,mtbf_score,mttrp_score,base_health_score,target_health_score
FLT-0001,2024-03,1.0,0.05,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,0.99,1.0,0.0,37.0,0.0,0.0,4.0,0.0,0.0,1.0,0,0.0,1.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2024-04,1.0,0.03,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0,0,0.99,1.0,1.0,37.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2024-05,1.0,0.04,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2024-06,1.0,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2024-07,1.0,0.05,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2024-08,1.0,0.03,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2024-09,1.0,0.03,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2024-10,1.0,0.03,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2024-11,1.0,0.08,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2024-12,1.0,0.04,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2025-01,1.0,0.06,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2025-02,1.0,0.05,0.0,0.0,0.0,0.0,672.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2025-03,1.0,0.04,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2025-04,1.0,0.08,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2025-05,1.0,0.06,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2025-06,1.0,0.06,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2025-07,1.0,0.05,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2025-08,1.0,0.08,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,100.0,100.0,100.0,100.0,99.97
FLT-0001,2025-09,1.0,0.1,73.0,0.67,2.0,0.0,720.0,0.67,2.0,1,1,1.0,1.0,1.0,0.0,0.0,73.0,0.0,0.0,2.0,0.0,0.0,1,0.0,0.0,1,100.0,100.0,99.72222222222223,99.97222222222223,100.0
FLT-0001,2025-10,1.0,0.08,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,73.0,0.0,0.0,2.0,0.0,0.0,1.0,0,0.0,1.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2025-11,1.0,0.07,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0,0,1.0,1.0,1.0,73.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2025-12,1.0,0.07,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0
FLT-0001,2026-01,1.0,0.06,44.0,0.0,0.17,0.0,744.0,0.0,0.17,1,0,1.0,1.0,1.0,0.0,0.0,44.0,0.0,0.0,0.17,0.0,0.0,1,0.0,0.0,0,100.0,100.0,99.9771505376344,99.99771505376344,99.97
FLT-0001,2026-02,1.0,0.49,327.0,1.0,2.0,0.0,672.0,1.0,2.0,1,0,1.0,1.0,1.0,0.0,44.0,327.0,0.0,0.17,2.0,0.0,1.0,1,0.0,0.0,0,100.0,100.0,99.70238095238095,99.9702380952381,99.99
FLT-0001,2026-03,1.0,0.08,62.0,1.0,0.5,0.0,744.0,1.0,0.5,1,0,1.0,1.0,1.0,44.0,327.0,62.0,0.17,2.0,0.5,1.0,1.0,1,0.0,0.0,0,100.0,100.0,99.93279569892472,99.99327956989248,84.98
QCC-0001,2024-03,1.0,0.24,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,1.0,1.0,1.0,128.5,0.0,0.0,0.42,0.0,0.0,1.0,0.0,0,1.0,0.0,0,100.0,100.0,100.0,100.0,100.0
QCC-0001,2024-04,0.98,0.21,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0,0,1.0,1.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,100.0,100.0,100.0,100.0,84.95
QCC-0001,2024-05,0.97,0.19,71.75,0.75,3.5,0.0,744.0,1.5,7.0,2,2,1.0,0.98,0.97,0.0,0.0,71.75,0.0,0.0,3.5,0.0,0.0,2,0.0,0.0,2,100.0,50.0,99.52956989247312,84.95295698924731,99.97
QCC-0001,2024-06,1.0,0.25,183.5,0.5,2.0,0.0,720.0,0.5,2.0,1,0,0.98,0.97,1.0,0.0,71.75,183.5,0.0,3.5,2.0,0.0,2.0,1,0.0,2.0,0,100.0,100.0,99.72222222222223,99.97222222222223,100.0
QCC-0001,2024-07,0.99,0.3,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0,0,0.97,1.0,0.99,71.75,183.5,0.0,3.5,2.0,0.0,2.0,1.0,0,2.0,0.0,0,100.0,100.0,100.0,100.0,99.99
QCC-0001,2024-08,1.0,0.2,150.5,0.33,1.0,0.0,744.0,0.33,1.0,1,1,1.0,0.99,1.0,183.5,0.0,150.5,2.0,0.0,1.0,1.0,0.0,1,0.0,0.0,1,100.0,100.0,99.86559139784946,99.98655913978494,84.99
QCC-0001,2024-09,0.99,0.22,79.5,0.34,1.01,0.0,720.0,0.67,2.02,2,2,0.99,1.0,0.99,0.0,150.5,79.5,0.0,1.0,1.01,0.0,1.0,2,0.0,1.0,2,100.0,50.0,99.85972222222223,84.98597222222222,100.0
